Code,Class,Category,Rate,Unit,Assessed,Rate impost,Code of zone,Name of zone,Comments,-99
110,"Category ""A"" - National Advertiser (eg. Yetron  Afromedia)","Category ""A"" - National Advertiser (eg. Yetron  Afromedia)",120,Per Annum,,,,,,-99
120,"Category ""B"" - Local Advertiser ( etc.)","Category ""B"" - Local Advertiser ( etc.)",50,Per Annum,,,,,,-99
130,"Category ""C"" - Other Signwriters","Category ""C"" - Other Signwriters",20,Per Annum,,,,,,-99
210,"Agric/Agro Product Category ""A"" - Producers (Wienco)","Agric/Agro Product Category ""A"" - Producers (Wienco)",250,Per Annum,,,,,,-99
220,"Agric/Agro Product Category ""B"" - Distributors (GAFCO)","Agric/Agro Product Category ""B"" - Distributors (GAFCO)",125,Per Annum,,,,,,-99
230,"Agric/Agro Product Category ""C"" - Retailers","Agric/Agro Product Category ""C"" - Retailers",40,Per Annum,,,,,,-99
310,"Art & Handicraft Shop Category ""A""","Art & Handicraft Shop Category ""A""",15,Per Annum,,,,,,-99
320,"Art & Handicraft Shop Category ""B"" -","Art & Handicraft Shop Category ""B"" -",12,Per Annum,,,,,,-99
410,Aluminium Fabricators Category 'A'     -,Aluminium Fabricators Category 'A'     -,100,Per Annum,,,,,,-99
420,Aluminium Fabricators Category 'B'    -,Aluminium Fabricators Category 'B'    -,75,Per Annum,,,,,,-99
430,Aluminium Fabricators Category 'C'    -,Aluminium Fabricators Category 'C'    -,40,Per Annum,,,,,,-99
510,Boutiques Category 'A' - (Eg. Shoes  Cloths  Cosmetics),Boutiques Category 'A' - (Eg. Shoes  Cloths  Cosmetics),70,Per Annum,,,,,,-99
520,Boutiques Category 'B'  (Eg. Without Cosmetics),Boutiques Category 'B'  (Eg. Without Cosmetics),40,Per Annum,,,,,,-99
530,Boutiques Category 'C'  (Eg. Without Shoes),Boutiques Category 'C'  (Eg. Without Shoes),25,Per Annum,,,,,,-99
610,"Bookshops/Stationery Shops  Category ""A"" -","Bookshops/Stationery Shops  Category ""A"" -",40,Per Annum,,,,,,-99
620,"Bookshops/Stationery Shops  Category ""B"" -","Bookshops/Stationery Shops  Category ""B"" -",20,Per Annum,,,,,,-99
630,"Bookshops/Stationery Shops  Category ""C"" - Table Top","Bookshops/Stationery Shops  Category ""C"" - Table Top",15,Per Annum,,,,,,-99
710,"Bakery Category ""A"" - Large Scale","Bakery Category ""A"" - Large Scale",30,Per Annum,,,,,,-99
720,"Bakery Category ""B"" - Medium Scale","Bakery Category ""B"" - Medium Scale",20,Per Annum,,,,,,-99
730,"Bakery Category ""D"" - Pastries","Bakery Category ""D"" - Pastries",15,Per Annum,,,,,,-99
810,"Category ""A"" -  Brewery/Distillery Factory","Category ""A"" -  Brewery/Distillery Factory",500,Per Annum,,,,,,-99
820,"Category ""B"" - Co-operatives/ Distillers","Category ""B"" - Co-operatives/ Distillers",50,Per Annum,,,,,,-99
830,"Category ""C"" - Home Based/Farm Site","Category ""C"" - Home Based/Farm Site",30,Per Annum,,,,,,-99
910,Building Material/ Hardware Stores,Building Material/ Hardware Stores,49,Per Annum,,,,,,-99
920,"Category ""A""- Cement & Ware Retail Store- Large","Category ""A""- Cement & Ware Retail Store- Large",50,Per Annum,,,,,,-99
930,"Category ""B""- Cement & Ware Retail Store- Medium","Category ""B""- Cement & Ware Retail Store- Medium",30,Per Annum,,,,,,-99
940,"Category ""C""- Cement & Ware Retail Store- Kiosk","Category ""C""- Cement & Ware Retail Store- Kiosk",25,Per Annum,,,,,,-99
1010,"Bags and Suitcase Category ""A"" - Large","Bags and Suitcase Category ""A"" - Large",50,Per Annum,,,,,,-99
1020,"Bags and Suitcase Category ""B"" - Medium","Bags and Suitcase Category ""B"" - Medium",40,Per Annum,,,,,,-99
1030,"Bags and Suitcase Category ""C""- Small","Bags and Suitcase Category ""C""- Small",20,Per Annum,,,,,,-99
1110,"Block Making Factory Category  ""A"" (Two and more Machines)","Block Making Factory Category  ""A"" (Two and more Machines)",60,Per Annum,,,,,,-99
1120,"Block Making Factory Category  ""B"". (One Machine/Manual )","Block Making Factory Category  ""B"". (One Machine/Manual )",40,Per Annum,,,,,,-99
1130,"Block Making Factory Category  ""C"" Baulesters","Block Making Factory Category  ""C"" Baulesters",30,Per Annum,,,,,,-99
1210,"Cold Store Category ""A"" - Large","Cold Store Category ""A"" - Large",80,Per Annum,,,,,,-99
1220,"Cold Store Category ""B"" -  Medium","Cold Store Category ""B"" -  Medium",40,Per Annum,,,,,,-99
1230,"Cold Store Category ""C"" - Wayside/Kiosk","Cold Store Category ""C"" - Wayside/Kiosk",25,Per Annum,,,,,,-99
1310,"Carpenters Category ""A"" - (With Machines /Upholstery)","Carpenters Category ""A"" - (With Machines /Upholstery)",100,Per Annum,,,,,,-99
1320,"Carpenters Category ""B"" (WithMachines)","Carpenters Category ""B"" (WithMachines)",80,Per Annum,,,,,,-99
1330,"Carpenters Category ""C"" (Without Machines)","Carpenters Category ""C"" (Without Machines)",35,Per Annum,,,,,,-99
1340,"Carpenters Category ""D""","Carpenters Category ""D""",20,Per Annum,,,,,,-99
1410,"Cannoe Moulders CAT ""A""","Cannoe Moulders CAT ""A""",30,Per Annum,,,,,,-99
1420,"Cannoe Moulders CAT ""B""","Cannoe Moulders CAT ""B""",25,Per Annum,,,,,,-99
1510,"Coffin/Casket Manufacturers Category "" A""  Workshop and Showroom","Coffin/Casket Manufacturers Category "" A""  Workshop and Showroom",60,Per Annum,,,,,,-99
1520,"Coffin/Casket Manufacturers Category ""B"" Showroom/  Workshop Only","Coffin/Casket Manufacturers Category ""B"" Showroom/  Workshop Only",35,Per Annum,,,,,,-99
1530,"Coffin/Casket Manufacturers Category  ""C"" Wayside","Coffin/Casket Manufacturers Category  ""C"" Wayside",25,Per Annum,,,,,,-99
1610, Commissioner of Oaths/Letter Writer, Commissioner of Oaths/Letter Writer,10,Per Annum,,,,,,-99
1710,"Cassette Shops/Recording Studios Category  ""A"" - (Producer/Music Studios)","Cassette Shops/Recording Studios Category  ""A"" - (Producer/Music Studios)",70,Per Annum,,,,,,-99
1720,"Cassette Shops/Recording Studios Category  ""B"" - Distributors","Cassette Shops/Recording Studios Category  ""B"" - Distributors",30,Per Annum,,,,,,-99
1730,"Cassette Shops/Recording Studios Category  ""C"" - Retailers","Cassette Shops/Recording Studios Category  ""C"" - Retailers",20,Per Annum,,,,,,-99
