Code,Class,Category,Rate,Unit,Assessed,Rate impost,Code of zone,Name of zone,Comments,-99
101,   Advertising Agency -Category 'A' (eg. Afromedia)  ,,200,,,,,,,-99
102,   Category 'B'    ,,20,,,,,,,-99
200,Art Studios/Signwriters,,,,,,,,,-99
201,   Art Studios/Signwriters - Category 'A'     ,,40,,,,,,,-99
202,   Art Studios/Signwriters - Category 'B' ,,25,,,,,,,-99
301,AMBULANCE SERVICE,,30,,,,,,,-99
400, Block making Factories,,,,,,,,,-99
401,   Category 'A' (machines)     ,,50,,,,,,,-99
402,   Category 'B'(manual machines) ,,20,,,,,,,-99
500, Bill-Boards (Adverts),,,,,,,,,-99
501,    Prismatic,,600,,,,,,,-99
502,    Bulletin,,400,,,,,,,-99
503,    Flexi (Extra Large),,300,,,,,,,-99
504,    Large (96 sheets),,200,,,,,,,-99
505,    Medium  (16 - 48 sheets),,60,,,,,,,-99
506,   Signboard   Small     ,,25,,,,,,,-99
507,    Banners,,15,,,,,,,-99
508,Bus Shelter,,150,,,,,,,-99
600,  Boutiques,,,,,,,,,-99
601,   Category 'A'   ,,40,,,,,,,-99
602,   Category 'B'    ,,25,,,,,,,-99
700, Bookshops/Stationery Shops    ,,,,,,,,,-99
701,category 'A' (Aktion Store),,80,,,,,,,-99
702,category 'B' Nako Ventures),,30,,,,,,,-99
800,  Bakeries,,,,,,,,,-99
801,    Pastries       ,,15,,,,,,,-99
802,    Flour Kneading  ,,18,,,,,,,-99
900, Building Materials/Hardware shops,,,,,,,,,-99
901,    Category 'A' (eg. God is able)    ,,200,,,,,,,-99
902,    Category 'B' (eg. John Mensah)  ,,60,,,,,,,-99
903,    Category 'C'      ,,30,,,,,,,-99
1001,Blacksmiths,,15,,,,,,,-99
1100, Car Washing Bay,,,,,,,,,-99
1101,     Category 'A' (Pressure machine)     ,,40,,,,,,,-99
1102,     Category 'B' (Manual)       ,,15,,,,,,,-99
1201,Chain-saw/Water pump/Generator      ,,20,,,,,,,-99
1300,Charcoal/Firewood     ,,,,,,,,,-99
1301,      Charcoal Burners / Dealers      ,,15,,,,,,,-99
1302,      Cane Cutters              ,,15,,,,,,,-99
1303,      Firewood Cutters    ,,15,,,,,,,-99
1304,      Firewood Dealers     ,,15,,,,,,,-99
1400,Chemical/Pharmacy,,,,,,,,,-99
1401,      Pharmacy,,100,,,,,,,-99
1402,      Category A (Chemical/Stores),,50,,,,,,,-99
1403,      Category B (Rural),,20,,,,,,,-99
1404,      Agro-Chemical Store,,100,,,,,,,-99
1500, Commercial House/Dept. Stores,,,,,,,,,-99
1501, All Needs& Forwin& Atwi& Topline& Flosia&Ransbet,,400,,,,,,,-99
1502,Supermarkets/Semi Dept.stores e.g. ,,150,,,,,,,-99
1503,Category 'A' Large,,40,,,,,,,-99
1504,Category 'B' Medium,,20,,,,,,,-99
1505,Category 'C'  Small,,15,,,,,,,-99
1601, Cigarette Wholesale Outlets      ,,50,,,,,,,-99
1700,Milling Houses,,,,,,,,,-99
1701, Corn/Palm-Kernel/Rice Mills etc.  ,,15,,,,,,,-99
1702,       Vegetable Mill  ,,15,,,,,,,-99
1801, Club House             ,,30,,,,,,,-99
1901,Car Dealers,,50,,,,,,,-99
2001,Computer School,,60,,,,,,,-99
2100, Commissioner of Oaths   ,,20,,,,,,,-99
2101,        Letter Writer                       ,,15,,,,,,,-99
2200,Catering  Services (Mining),,,,,,,,,-99
2201,Category'A' ( ATS),,600,,,,,,,-99
2202,Category'B' (Nana Aba),,300,,,,,,,-99
2300,Chopbars/Eating Houses,,,,,,,,,-99
2301,Category 'A'  eg. Gladys UMaT Mad Obeng etc,,60,,,,,,,-99
2302,Category 'B' (Urban) eg.Aponkyi Nkrakra),,25,,,,,,,-99
2303,Category 'B' (Rural) ,,20,,,,,,,-99
2400,Cold Store,,,,,,,,,-99
2401,Category 'A' (Cheaper lines/ Twere Nyame/Agape),,150,,,,,,,-99
2402,Category 'B' ,,50,,,,,,,-99
2403,Category 'C'   ,,25,,,,,,,-99
2501,Cocoa Buying Agencies,,500,,,,,,,-99
2502,Sub Agents,,200,,,,,,,-99
2600,COURIER SERVICES,,220,,,,,,,-99
2601,DHL& FEDEX&EMS,,220,,,,,,,-99
2701, Discotheque    ,,40,,,,,,,-99
2800, Distribution of Drinks/Wholesale,,,,,,,,,-99
2801,       Category 'A' (Coca Cola)& Obiba J.K.      ,,400,,,,,,,-99
2802,       Category 'B' (& GBL& JEOMAN)  ,,300,,,,,,,-99
2803,       Category 'C' (Kojo Otoo Ent.)      ,,100,,,,,,,-99
2804,       Category   D,,40,,,,,,,-99
2900,Drinking Bars  ,,,,,,,,,-99
2901,Drinking Bars (General) 'A',,40,,,,,,,-99
2902,Drinking Bars (General) 'B',,25,,,,,,,-99
2903,Drinking Bars (Akpeteshie),,15,,,,,,,-99
3000,Distillers/Breweries,,,,,,,,,-99
3001,       Akpeteshie,,20,,,,,,,-99
3002,       Pito/Palm-wine,,15,,,,,,,-99
3003,       Akpeteshie Exportation,,1,,,,,,,-99
3100,Distribution of Manufactured Water/ Wholesale,,,,,,,,,-99
3101, Category 'A',,250,,,,,,,-99
3102,Category 'B' ,,200,,,,,,,-99
3201,Water Tanker Services,,500,,,,,,,-99
3301,Driving School,,100,,,,,,,-99
3401,Florist(Flower shop),,20,,,,,,,-99
3500,       Coffin Producers/Sellers,,20,,,,,,,-99
3501,Furniture/Carpentry Shop,,,,,,,,,-99
3502,       Category 'A' (Showroom),,25,,,,,,,-99
3503,       Category 'B' (Upholstry),,20,,,,,,,-99
3504,       Category 'C',,15,,,,,,,-99
3505,Coffin Producers/Sellers,,20,,,,,,,-99
3600,Financial Institutions,,,,,,,,,-99
3601,       Category 'A' (Branch Office),,3000,,,,,,,-99
3602,       Category 'B' (Rural/Community Banks),,1400,,,,,,,-99
3700,Non-Banking Institutions,,,,,,,,,-99
3701,       Category 'A' (eg. SSNIT&SIC etc),,3000,,,,,,,-99
3702,       Category 'B' (eg. Vanguard etc.),,1000,,,,,,,-99
3703,       Forex Bureaux,,500,,,,,,,-99
3801,Susu Operators,,25,,,,,,,-99
3900,Money lender,,60,,,,,,,-99
3901,Micro Finance Company,,60,,,,,,,-99
4000,Fast Food,,,,,,,,,-99
4001,Category'A' ( eg.Sag Foods/Trinity& Cabanna),,140,,,,,,,-99
4002,Category'B' (Wayside),,30,,,,,,,-99
4100,Gold Dealers,,,,,,,,,-99
4101,Agent,,500,,,,,,,-99
4102,Buyers,,300,,,,,,,-99
4201,Goldsmiths,,30,,,,,,,-99
4300,General Electric/Electronic Shop,,,,,,,,,-99
4301,Category 'A' (SS Elect),,100,,,,,,,-99
4302,Category 'B',,30,,,,,,,-99
4303,Category 'C' (Rewinding),,20,,,,,,,-99
4304,         Category 'A'  - (eg.& Owusu Home Stores),,50,,,,,,,-99
4305,         Category 'B' ( Second Hand Shop),,30,,,,,,,-99
4306,Radio/Electonic repairers ,,15,,,,,,,-99
4400,Hair Dressing Saloons,,,,,,,,,-99
4401,Category 'A' ,,15,,,,,,,-99
4500,Hotels,,,,,,,,,-99
