Code,Class,Category,Rate,Unit,Assessed,Rate impost,Code of zone,Name of zone,Comments,-99
101,   Advertising Agency -Category 'A' (eg. Afromedia)  ,,250,,,,,,,-99
102,   Category 'B'    ,,50,,,,,,,-99
200,Art Studios/Signwriters,,,,,,,,,-99
201,   Art Studios/Signwriters - Category 'A'     ,,100,,,,,,,-99
202,   Art Studios/Signwriters - Category 'B' ,,35,,,,,,,-99
301,AMBULANCE SERVICE,,50,,,,,,,-99
400, Block making Factories,,,,,,,,,-99
401,   Category 'A' (machines)     ,,150,,,,,,,-99
402,   Category 'B'(manual machines) ,,50,,,,,,,-99
500, Bill-Boards (Adverts),,,,,,,,,-99
501,    Prismatic,,800,,,,,,,-99
502,    Bulletin,,500,,,,,,,-99
503,    Flexi (Extra Large),,425,,,,,,,-99
504,    Large (96 sheets),,200,,,,,,,-99
505,    Medium  (16 - 48 sheets),,150,,,,,,,-99
506,   Signboard   Small     ,,25,,,,,,,-99
507,    Banners,,100,,,,,,,-99
508,Bus Shelter,,200,   ,,,,,,-99
600,  Boutiques,,,,,,,,,-99
601,   Category 'A'   ,,120,,,,,,,-99
602,   Category 'B'    ,,35,,,,,,,-99
700, Bookshops/Stationery Shops    ,,,,,,,,,-99
701,category 'A' (Aktion Store),,100,,,,,,,-99
702,category 'B' Nako Ventures),,40,,,,,,,-99
800,  Bakeries,,,,,,,,,-99
801,    Category A (Bakery with kneading machine)       ,,60,,,,,,,-99
802, Category  (Bakery) ,,30,,,,,,,-99
900, Building Materials/Hardware shops,,,,,,,,,-99
901,    Category 'A' (eg. God is able)    ,,250,,,,,,,-99
902,    Category 'B' (eg. John Mensah)  ,,100,,,,,,,-99
903,    Category 'C'      ,,50,,,,,,,-99
1001,Blacksmiths,,20,,,,,,,-99
1100, Car Washing Bay,,,,,,,,,-99
1101,     Category 'A' (Pressure machine)     ,,100,,,,,,,-99
1102,     Category 'B' (Manual)       ,,30,,,,,,,-99
1201,Chain-saw/Water pump/Generator      ,,30,,,,,,,-99
1300,Charcoal/Firewood     ,,,,,,,,,-99
1301,      Charcoal Burners / Dealers      ,,20,,,,,,,-99
1302,      Cane Cutters              ,,20,,,,,,,-99
1303,      Firewood Cutters    ,,20,,,,,,,-99
1304,      Firewood Dealers     ,,20,,,,,,,-99
1400,Chemical/Pharmacy,,,,,,,,,-99
1401,      Pharmacy,,200,,,,,,,-99
1402,      Category A (Chemical/Stores),,100,,,,,,,-99
1403,      Category B (Rural),,30,,,,,,,-99
1404,      Agro-Chemical Store,,100,,,,,,,-99
1500, Commercial House/Dept. Stores ,,,,,,,,,-99
1501, Category A (Melcom),,700,,,,,,,-99
1502, Category B (All Needs& Forwin& Atwi& Topline& Flosia&Ransbet),,500,,,,,,,-99
1503,Category C (Supermarkets/Semi Dept.stores e.g.),,200,,,,,,,-99
1504,Category 'D',,50,,,,,,,-99
1505,Category 'E',,25,,,,,,,-99
1506,Category 'F'  ,,20,,,,,,,-99
1601, Cigarette Wholesale Outlets      ,,50,,,,,,,-99
1700,Milling Houses,,,,,,,,,-99
1701, Corn/Palm-Kernel/Rice Mills etc.  ,,20,,,,,,,-99
1702, Vegetable Mill  ,,20,,,,,,,-99
1801, Club House             ,,30,,,,,,,-99
1900,Car /Motor Bike Dealers,,,,,,,,,-99
1901,Category A,,200,,,,,,,-99
1902,Category B,,100,,,,,,,-99
1903,Car Rentals,,300,,,,,,,-99
1904,Hearse,,100,,,,,,,-99
1905,Motor Bike/Bicycle,,50,,,,,,,-99
2001,Computer School,,70,,,,,,,-99
2100, Commissioner of Oaths   ,,50,,,,,,,-99
2101,Letter Writer                       ,,20,,,,,,,-99
2200,Catering  Services (Mining),,,,,,,,,-99
2201,Category'A' ( ATS),,1000,,,,,,,-99
2202,Category'B' (Nana Aba),,350,,,,,,,-99
2300,Chopbars/Eating Houses,,,,,,,,,-99
2301,Category 'A'  eg. Gladys UMaT Mad Obeng etc,,100,,,,,,,-99
2302,Category 'B' (Urban) eg.Aponkyi Nkrakra),,50,,,,,,,-99
2303,Category 'C' (Rural) ,,30,,,,,,,-99
2400,Cold Store,,,,,,,,,-99
2401,Category 'A' (Cheaper lines/ Twere Nyame/Agape),,200,,,,,,,-99
2402,Category 'B' ,,70,,,,,,,-99
2403,Category 'C'   ,,35,,,,,,,-99
2501,Cocoa Buying Agencies,,1000,,,,,,,-99
2502,Sub Agents,,300,,,,,,,-99
2600,COURIER SERVICES,,,,,,,,,-99
2601,DHL& FEDEX&EMS,,500,,,,,,,-99
2701, Discotheque    ,,40,,,,,,,-99
2800, Distribution of Drinks/Wholesale,,,,,,,,,-99
2801,       Category 'A' (Coca Cola)& Obiba J.K.      ,,500,,,,,,,-99
2802,       Category 'B' (& GBL& JEOMAN)  ,,400,,,,,,,-99
2803,       Category 'C' (Kojo Otoo Ent.)      ,,150,,,,,,,-99
2804,       Category   D,,40,,,,,,,-99
2900,Drinking Bars  ,,,,,,,,,-99
2901,Drinking Bars (General) 'A',,60,,,,,,,-99
2902,Drinking Bars (General) 'B',,30,,,,,,,-99
2903,Drinking Bars (Akpeteshie),,20,,,,,,,-99
3000,Distillers/Breweries,,,,,,,,,-99
3001,       Akpeteshie,,25,,,,,,,-99
3002,       Pito/Palm-wine,,20,,,,,,,-99
3003,       Akpeteshie Exportation,,1.5,,,,,,,-99
3100,Distribution of Manufactured Water/ Wholesale,,,,,,,,,-99
3101, Category 'A',,400,,,,,,,-99
3102,Category 'B' ,,200,,,,,,,-99
3201,Water Tanker Services,,300,,,,,,,-99
3301,Driving School,,130,,,,,,,-99
3401,Florist(Flower shop),,30,,,,,,,-99
3500,Furniture/Carpentry Shop,,,,,,,,,-99
3501,       Category 'A' (Showroom),,400,,,,,,,-99
3502,       Category 'B' (Nico Furniture),,250,,,,,,,-99
3503,       Category 'C' (Others),,100,,,,,,,-99
3504,Coffin Producers/Sellers,,150,,,,,,,-99
3600,Financial Institutions,,,,,,,,,-99
3601,       Category 'A' (Branch Office),,4500,,,,,,,-99
3602,       Category 'B' (Rural/Community Banks),,2500,,,,,,,-99
3603,Category C (Agency),,500,,,,,,,-99
3700,Non-Banking Institutions,,,,,,,,,-99
3701,       Category 'A' (eg. SSNIT&SIC etc),,4500,,,,,,,-99
3702,       Category 'B' (eg. Vanguard etc.),,2500,,,,,,,-99
3703,Forex Bureaux,,1000,,,,,,,-99
3801,Susu Operators,,50,,,,,,,-99
3900,Money lender,,150,,,,,,,-99
3901,Micro Finance Company,,1500,,,,,,,-99
4000,Restaurants,,,,,,,,,-99
4001,Category'A' ( eg.Sag Foods/Trinity& Cabanna),,200,,,,,,,-99
4002,Category'B' ),,100,,,,,,,-99
4003,Category'C' (Wayside),,50,,,,,,,-99
4100,Gold Dealers,,,,,,,,,-99
4101,Agent,,700,,,,,,,-99
4102,Buyers,,400,,,,,,,-99
4201,Goldsmiths,,50,,,,,,,-99
4202,Gold Millers,,1500,,,,,,,-99
4300,General Electric/Electronic Shop,,,,,,,,,-99
4301,Category 'A' (SS Elect),,150,,,,,,,-99
4302,Category 'B',,70,,,,,,,-99
4303,Category 'C' (Rewinding),,50,,,,,,,-99
4304,         Category 'A'  - (eg.& Owusu Home Stores),,200,,,,,,,-99
4305,         Category 'B' ( Second Hand Shop),,150,,,,,,,-99
,         Category 'B' ( Second Hand ),,20,,,,,,,-99
4306,Radio/Electonic repairers ,,20,,,,,,,-99
4400,Hair Dressing/Babering Salons,,,,,,,,,-99
4401,Category 'A' ,,100,,,,,,,-99
4402,Category 'B' ,,50,,,,,,,-99
4403,Category 'C' ,,20,,,,,,,-99
4500,Hotels,,,,,,,,,-99
4501,Category 'A' (3 Star Hilda),,1600,,,,,,,-99
4502,Category 'B' (2 Star eg.  Lynka& Tamso Lodge),,1100,,,,,,,-99
4503,Category 'C' ( eg Peace& Adom& etc.),,350,,,,,,,-99
