Code,Class,Category,Rate,Unit,Assessed,Rate impost,Code of zone,Name of zone,Comments,-99
,(name),(name),,(name),(1 for yes),,(string. If >1:separate with -),(string. If >1:separate with -),(string),-99
2011," Advertising Agency/Signwriters, Art Studios ","Category ""A"" ",450,Per Annum,,,,,,-99
2012," Advertising Agency/Signwriters, Art Studios ","Category ""B"" ",250,Per Annum,,,,,,-99
2013," Advertising Agency/Signwriters, Art Studios ","Category ""C"" ",100,Per Annum,,,,,,-99
2021,Agric/Agro Products (Chemicals),"Category ""A"" ",250,Per Annum,,,,,,-99
2022,Agric/Agro Products (Chemicals),"Category ""B"" ",125,Per Annum,,,,,,-99
2023,Agric/Agro Products (Chemicals)," Category ""C"" ",40,Per Annum,,,,,,-99
2031,Art & Handicraft Shops(Atefacts),"Category ""A"" ",30,Per Annum,,,,,,-99
2032,Art & Handicraft Shops(Atefacts),"Category ""B"" ",40,Per Annum,,,,,,-99
2041,Aluminium Fabricators ,"Category ""A"" ",150,Per Annum,,,,,,-99
2042,Aluminium Fabricators ,"Category ""B"" ",100,Per Annum,,,,,,-99
2043,Aluminium Fabricators ,"Category ""C"" ",60,Per Annum,,,,,,-99
2051,Boutiques ,"Category ""A"" ",70,Per Annum,,,,,,-99
2052,Boutiques ,"Category ""B"" ",40,Per Annum,,,,,,-99
2053,Boutiques ,"Category ""C"" ",25,Per Annum,,,,,,-99
2061,Bookshops/Stationery Shops  ,"Category ""A"" ",40,Per Annum,,,,,,-99
2062,Bookshops/Stationery Shops  ,"Category ""B"" ",25,Per Annum,,,,,,-99
2063,Bookshops/Stationery Shops  ,"Category ""C"" ",20,Per Annum,,,,,,-99
2071,Bakery ," Category ""A"" - Large Scale",35,Per Annum,,,,,,-99
2072,Bakery ," Category ""B"" - Medium Scale",25,Per Annum,,,,,,-99
2081,Bakery ," Category ""C"" - Pastries",20,Per Annum,,,,,,-99
2082,Breweries/Distilleries,"Category ""A"" -  Brewery/Distillery Factory",600,Per Annum,,,,,,-99
2083,Breweries/Distilleries,"Category ""B"" - Co-operatives/ Distillers",70,Per Annum,,,,,,-99
2091,Breweries/Distilleries,"Category ""C"" - Home Based/Farm Site",50,Per Annum,,,,,,-99
2092,Building Material/ Hardware Stores,"Category ""A""- Large",60,Per Annum,,,,,,-99
2094,Building Material/ Hardware Stores,"Category ""B""- Medium",40,Per Annum,,,,,,-99
101,Building Material/ Hardware Stores,"Category ""C""- Kiosk",35,Per Annum,,,,,,-99
102,Bags and Suitcase ,"Category ""A"" - Large",70,Per Annum,,,,,,-99
103,Bags and Suitcase ,"Category ""B"" - Medium",50,Per Annum,,,,,,-99
111,Bags and Suitcase ,"Category ""C""- Small",40,Per Annum,,,,,,-99
112,Block Making Factory ,"Category  ""A"" (Two and more Machines)",70,Per Annum,,,,,,-99
113,Block Making Factory ,"Category  ""B"". (One Machine/Manual )",50,Per Annum,,,,,,-99
121,Block Making Factory ,"Category  ""C"" Baulesters",40,Per Annum,,,,,,-99
122,Cold Store ,"Category ""A"" - Large",100,Per Annum,,,,,,-99
123,Cold Store ," Category ""B"" -  Medium",50,Per Annum,,,,,,-99
131,Cold Store ,"Category ""C"" - Wayside/Kiosk",30,Per Annum,,,,,,-99
132,Carpenters ,"Category ""A"" - (With Machines /Upholstery)",100,Per Annum,,,,,,-99
133,Carpenters ," Category ""B"" (WithMachines)",80,Per Annum,,,,,,-99
134,Carpenters ,"Category ""C"" (Without Machines)",35,Per Annum,,,,,,-99
141,Carpenters ,"Carpenters Category ""D""",20,Per Annum,,,,,,-99
142,Carpenters ,"Category ""E"" (Mould fishmongers' net)",10,Per Annum,,,,,,-99
143,Cannoe Moulders ,"Category ""A"" ",30,Per Annum,,,,,,-99
151,Cannoe Moulders ,"Category ""B"" ",25,Per Annum,,,,,,-99
152,Coffin/Casket Manufacturers ,"Category "" A""  Workshop and Showroom",100,Per Annum,,,,,,-99
153,Coffin/Casket Manufacturers ,"Category ""B"" Showroom/  Workshop Only",50,Per Annum,,,,,,-99
161,Coffin/Casket Manufacturers ,"Category  ""C"" Wayside",40,Per Annum,,,,,,-99
171, Commissioner of Oaths/Letter Writer,,15,Per Annum,,,,,,-99
172,Cassette Shops/Recording Studios ,"Category  ""A"" - (Producer/Music Studios)",100,Per Annum,,,,,,-99
173,Cassette Shops/Recording Studios ,"Category  ""B"" - Distributors",40,Per Annum,,,,,,-99
181,Cassette Shops/Recording Studios ,"Category  ""C"" - Retailers",30,Per Annum,,,,,,-99
182,Chemical Sellers ,"Category  ""A"" -",25,Per Annum,,,,,,-99
183,Chemical Sellers ,"Category  ""B"" -",20,Per Annum,,,,,,-99
191,Chemical Sellers ,"Category  ""C"" -",15,Per Annum,,,,,,-99
192,Concrete Products ,"Category ""A"" ",400,Per Annum,,,,,,-99
193,Concrete Products ,"Category  ""B""",200,Per Annum,,,,,,-99
201,Concrete Products ,"Category  ""C"" Terrazo Chippings Dealer",50,Per Annum,,,,,,-99
202,Car Washing Bay ,"Category  ""A"" - (With 3 or more Ramps)",50,Per Annum,,,,,,-99
203,Car Washing Bay ,"Category  ""B"" - (With less than 3 Ramps)",40,Per Annum,,,,,,-99
211,Car Washing Bay ,"Category  ""C"" - Manual Washing",30,Per Annum,,,,,,-99
212,Chop Bars/Eating Houses,"Category  ""A"" ",60,Per Annum,,,,,,-99
213,Chop Bars/Eating Houses,"Category  ""B"" ",45,Per Annum,,,,,,-99
214,Chop Bars/Eating Houses,"Category  ""C""",35,Per Annum,,,,,,-99
