Code,Class,Category,Rate,Unit,Assessed,Rate impost,Code of zone,Name of zone,Comments,-99
4011,Category A (eg Cane Basket Green Root Addai,,300,year,,,,,,-99
4012,  B (eg. Joko Ranchetc),,200,year,,,,,,-99
4013,C (eg. Divine Mamosa Phoenix),,150,year,,,,,,-99
4014,D (Guest Houses eg Toppers),,100,year,,,,,,-99
4021,Palm Wine / Pito,,6,year,,,,,,-99
4031,Catering Services,,40,year,,,,,,-99
4032,Restaurants,,50,year,,,,,,-99
4033,Chop bars,,20,year,,,,,,-99
4034,Fast food joints,,20,year,,,,,,-99
4035,Other cooked food sellers,,10,year,,,,,,-99
4041,Beer Spirits etc,,40,year,,,,,,-99
4042,Akpeteshie Retailer  ,,20,year,,,,,,-99
4043,General /Wholesellers,,50,year,,,,,,-99
4051,Herbalist License,,30,year,,,,,,-99
4061,Baker,,20,year,,,,,,-99
4071,Radio / TV Mechanic,,20,year,,,,,,-99
4081,Truck Pusher/wheel  barrow,,5,year,,,,,,-99
4091,Concert ,,4,year,,,,,,-99
4092,Dance,,5,year,,,,,,-99
4093,Video,,24,year,,,,,,-99
4094,Video ( Mobile) ,,0.2,year,,,,,,-99
4095,Magic ,,4,year,,,,,,-99
4096,Jamboree,,4,year,,,,,,-99
4101,Fire Arms,,10,year,,,,,,-99
4111,Category A (Adongo),,400,year,,,,,,-99
4112,                B (Carpenter Police)   ,,250,year,,,,,,-99
4113,                C Sawn wood  dealers             ,,36,year,,,,,,-99
4121,Annual Registration Fee ,,1000,year,,,,,,-99
4122,Operational Fee,,200,year,,,,,,-99
4123,Security Deposit,,600,year,,,,,,-99
4131,Hairdressers,,12,year,,,,,,-99
4141,Seamstress,,12,year,,,,,,-99
4151,Tailors,,12,year,,,,,,-99
4161,Service Station,,500,year,,,,,,-99
4162,Filling,,250,year,,,,,,-99
4163,Surface tank,,100,year,,,,,,-99
4164,LP Gas Filling Stations,,300,year,,,,,,-99
4165,Kerosene dealer,,10,year,,,,,,-99
