Code,Class,Category,Rate,Unit,Assessed,Rate impost,Code of zone,Name of zone,Comments,-99
100, Advertising Agency, Advertising Agency,,year,,,,,,-99
101,    Advertising Agency - Category A (eg. Afromedia), Advertising Agency,200,year,,,,,,-99
102,   Advertising Agency -  Category B, Advertising Agency,150,year,,,,,,-99
103,    Advertising Agency - Category C, Advertising Agency,100,year,,,,,,-99
200,Art Studios/Signwriters,Art Studios/Signwriters,,year,,,,,,-99
201,   Art Studios/Signwriters - Category A,Art Studios/Signwriters,10,year,,,,,,-99
202,  Art Studios/Signwriters -  Category  B,Art Studios/Signwriters,5,year,,,,,,-99
203,  Art Studios/Signwriters -  Category  C,Art Studios/Signwriters,4,year,,,,,,-99
300,Artisans,Artisans,,year,,,,,,-99
301,Artisans - Category A,Artisans,7,year,,,,,,-99
302,Artisans - Category B,Artisans,6,year,,,,,,-99
303,Artisans -  Category C,Artisans,5,year,,,,,,-99
400, Block making Factories, Block making Factories,,year,,,,,,-99
401,   Block making Factories - Category A (machines), Block making Factories,10,year,,,,,,-99
402,    Block making Factories - Category B(manual), Block making Factories,10,year,,,,,,-99
500, Bill-Boards (Adverts), Bill-Boards (Adverts),,year,,,,,,-99
501,    Bill-Boards (Adverts) - Prismatic, Bill-Boards (Adverts),35,year,,,,,,-99
502,    Bill-Boards (Adverts) - Bulletin, Bill-Boards (Adverts),30,year,,,,,,-99
503,    Bill-Boards (Adverts) - Flexi (Extra Large), Bill-Boards (Adverts),40,year,,,,,,-99
504,    Bill-Boards (Adverts) -Large (96 sheets), Bill-Boards (Adverts),25,year,,,,,,-99
505,    Bill-Boards (Adverts) - Medium  (16 - 48 sheets), Bill-Boards (Adverts),15,year,,,,,,-99
506,    Bill-Boards (Adverts) - Signboard   Small, Bill-Boards (Adverts),10,year,,,,,,-99
507,    Bill-Boards (Adverts) - Banners, Bill-Boards (Adverts),10,year,,,,,,-99
600,  Boutiques,  Boutiques,,year,,,,,,-99
601,   Boutiques - Category A,  Boutiques,50,year,,,,,,-99
